artist_genres,track_uri,track_name,artist_name
reggaeton,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny
reggaeton,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny
reggaeton,spotify:track:1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,KAROL G
reggaeton,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny
reggaeton,spotify:track:7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G
reggaeton,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny
reggaeton,spotify:track:6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny
reggaeton,spotify:track:5NxhMcHSVY3Z7ykWxZf3aj,En La De Ella,Jhayco
reggaeton,spotify:track:6lV9cTvioGWqRXSgfjAUGL,Mojando Asientos (feat. Feid),Maluma
reggaeton,spotify:track:31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny
reggaeton,spotify:track:1797zYiX4cKosMH836X9Gt,La Corriente,Bad Bunny
reggaeton,spotify:track:6i1g5ZRmJZAkDwBaUZ3f2i,Caile,Luar La L
reggaeton,spotify:track:0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin
reggaeton,spotify:track:4srcMdbm2qzVG98tJajHxp,Pantysito,Alejo
reggaeton,spotify:track:41oY4WCTj5kccfesTVFnvN,Tarot,Bad Bunny
reggaeton,spotify:track:0R7DSnSibvuE4PEHqUayqf,Es un Secreto,Plan B
reggaeton,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,Medallo,Blessd
reggaeton,spotify:track:0EFxJw34fK8DWlTxx9qYeW,Instagram,Blessd
reggaeton,spotify:track:2iLegn1UOmpNpQAxcQoGJW,Tendencia Global,Blessd
reggaeton,spotify:track:6VrQTLzzuyGIYjUDe4kAZk,Un Coco,Bad Bunny
